trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
44,False,"{'a': 0.45, 'e': 0.8679999999999999}",30,5,-159.50481733719434,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",1
45,False,"{'a': 0.45, 'e': 0.8649999999999999}",20,0,-60.215827101313415,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
46,False,"{'a': 0.45, 'e': 0.8619999999999999}",20,0,-64.73517068414934,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
47,False,"{'a': 0.45, 'e': 0.8589999999999999}",20,0,-87.43492988539542,"{0: 12, 1: 2, 2: 3, 3: 3, 4: 0}",0
48,False,"{'a': 0.45, 'e': 0.8559999999999999}",25,0,-111.25273006431878,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
49,False,"{'a': 0.45, 'e': 0.8529999999999999}",30,0,-197.03499483758267,"{0: 18, 1: 4, 2: 4, 3: 0, 4: 4}",0
50,False,"{'a': 0.45, 'e': 0.8499999999999999}",25,14,0.9355433910795605,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 0.45, 'e': 0.8469999999999999}",30,0,-134.60730858286684,"{0: 17, 1: 2, 2: 10, 3: 0, 4: 1}",0
52,False,"{'a': 0.45, 'e': 0.8439999999999999}",30,9,-3.8079974414631703,"{0: 18, 1: 1, 2: 1, 3: 1, 4: 0}",1
53,False,"{'a': 0.45, 'e': 0.8409999999999999}",25,0,-179.69527270484275,"{0: 12, 1: 1, 2: 10, 3: 0, 4: 2}",0
54,False,"{'a': 0.45, 'e': 0.8379999999999999}",35,7,-164.21117189394485,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 4}",1
55,False,"{'a': 0.45, 'e': 0.8349999999999999}",30,0,-47.59081406814375,"{0: 22, 1: 4, 2: 2, 3: 2, 4: 0}",0
56,False,"{'a': 0.45, 'e': 0.8319999999999999}",25,0,-74.2728057338923,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
57,False,"{'a': 0.45, 'e': 0.8289999999999998}",25,16,-38.60348524926126,"{0: 5, 1: 1, 2: 2, 3: 1, 4: 0}",1
58,False,"{'a': 0.45, 'e': 0.8259999999999998}",30,1,-18.463175388042856,"{0: 24, 1: 2, 2: 2, 3: 1, 4: 0}",1
59,False,"{'a': 0.45, 'e': 0.8229999999999998}",20,3,-33.777215810762975,"{0: 13, 1: 3, 2: 0, 3: 0, 4: 1}",1
60,False,"{'a': 0.45, 'e': 0.8199999999999998}",20,0,-41.401580623988444,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
61,False,"{'a': 0.45, 'e': 0.8169999999999998}",20,0,-45.32056441717197,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
62,False,"{'a': 0.45, 'e': 0.8139999999999998}",20,0,-75.09302138261802,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
63,False,"{'a': 0.45, 'e': 0.8109999999999998}",25,0,-162.0922444638168,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
64,False,"{'a': 0.45, 'e': 0.8079999999999998}",25,11,-50.916818524717016,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 1}",1
65,False,"{'a': 0.45, 'e': 0.8049999999999998}",20,5,-55.85575612436538,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 1}",1
66,False,"{'a': 0.45, 'e': 0.8019999999999998}",20,0,-31.071982684581215,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
67,False,"{'a': 0.45, 'e': 0.7989999999999998}",25,0,-74.24817402497453,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
68,False,"{'a': 0.45, 'e': 0.7959999999999998}",30,8,-99.19060022202113,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 2}",1
69,False,"{'a': 0.45, 'e': 0.7929999999999998}",30,0,-76.38903706787069,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
70,False,"{'a': 0.45, 'e': 0.7899999999999998}",25,0,-137.90075876512338,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
71,False,"{'a': 0.45, 'e': 0.7869999999999998}",25,0,-145.54635160732073,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
72,False,"{'a': 0.45, 'e': 0.7839999999999998}",25,0,-135.2552698368489,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
73,False,"{'a': 0.45, 'e': 0.7809999999999998}",20,3,-32.17282613530932,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 1}",1
74,False,"{'a': 0.45, 'e': 0.7779999999999998}",20,0,-94.64355240882436,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
75,False,"{'a': 0.45, 'e': 0.7749999999999998}",25,0,-145.18995904291813,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
76,False,"{'a': 0.45, 'e': 0.7719999999999998}",30,5,-38.82079747767662,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",1
77,False,"{'a': 0.45, 'e': 0.7689999999999998}",25,12,-7.173594315809942,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.45, 'e': 0.7659999999999998}",25,12,-30.22327748602001,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 0}",1
79,False,"{'a': 0.45, 'e': 0.7629999999999998}",25,0,-108.67374985474758,"{0: 13, 1: 3, 2: 7, 3: 2, 4: 0}",0
80,False,"{'a': 0.45, 'e': 0.7599999999999998}",20,0,-87.05128825038153,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
81,False,"{'a': 0.45, 'e': 0.7569999999999998}",20,0,-115.5696646817158,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
82,False,"{'a': 0.45, 'e': 0.7539999999999998}",20,0,-73.81522216790846,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
