trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
184,False,"{'a': 0.45, 'e': 0.4479999999999995}",25,10,-12.425647431445785,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
185,False,"{'a': 0.45, 'e': 0.4449999999999995}",20,14,13.552088410600545,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.45, 'e': 0.4419999999999995}",20,8,-37.96382117754886,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 0}",1
187,False,"{'a': 0.45, 'e': 0.4389999999999995}",20,0,-13.431456394682083,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
188,False,"{'a': 0.45, 'e': 0.4359999999999995}",25,17,13.81498263627904,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.45, 'e': 0.4329999999999995}",35,11,-12.113990881425304,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 0}",1
190,False,"{'a': 0.45, 'e': 0.4299999999999995}",25,4,-41.55146351208578,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 1}",1
191,False,"{'a': 0.45, 'e': 0.4269999999999995}",20,10,-19.798173698651,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
192,False,"{'a': 0.45, 'e': 0.4239999999999995}",20,0,-79.76289019042194,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
193,False,"{'a': 0.45, 'e': 0.4209999999999995}",30,17,4.284063629006494,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
194,False,"{'a': 0.45, 'e': 0.4179999999999995}",25,5,-46.36557423128852,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",1
195,False,"{'a': 0.45, 'e': 0.4149999999999995}",25,4,-76.33677148021803,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 2}",1
196,False,"{'a': 0.45, 'e': 0.4119999999999995}",30,8,-95.27999985918092,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 2}",1
197,False,"{'a': 0.45, 'e': 0.4089999999999995}",25,0,-6.401591227126909,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
198,False,"{'a': 0.45, 'e': 0.4059999999999995}",30,18,7.365898421025267,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.45, 'e': 0.40299999999999947}",20,13,5.688878908885581,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.45, 'e': 0.39999999999999947}",25,20,9.448157889930494,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.45, 'e': 0.39699999999999946}",20,10,-34.5193699862122,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
202,False,"{'a': 0.45, 'e': 0.39399999999999946}",20,13,15.014977172629559,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.45, 'e': 0.39099999999999946}",30,20,-1.9630077438324234,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
204,False,"{'a': 0.45, 'e': 0.38799999999999946}",20,6,1.7437700590852305,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
205,False,"{'a': 0.45, 'e': 0.38499999999999945}",20,0,-40.30657799490632,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
206,False,"{'a': 0.45, 'e': 0.38199999999999945}",25,2,28.350395560162443,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
207,False,"{'a': 0.45, 'e': 0.37899999999999945}",35,15,-42.203406626618154,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",1
208,False,"{'a': 0.45, 'e': 0.37599999999999945}",30,22,-25.93368730007711,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
209,False,"{'a': 0.45, 'e': 0.37299999999999944}",25,18,-29.46715130626151,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
210,False,"{'a': 0.45, 'e': 0.36999999999999944}",25,11,5.691967465990077,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
211,False,"{'a': 0.45, 'e': 0.36699999999999944}",30,0,8.62496845449465,"{0: 26, 1: 3, 2: 1, 3: 0, 4: 0}",0
212,False,"{'a': 0.45, 'e': 0.36399999999999944}",30,13,13.681335459977163,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
213,False,"{'a': 0.45, 'e': 0.36099999999999943}",20,2,4.853089182673644,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
214,False,"{'a': 0.45, 'e': 0.35799999999999943}",20,9,-41.183662883244104,"{0: 7, 1: 0, 2: 3, 3: 1, 4: 0}",1
215,False,"{'a': 0.45, 'e': 0.3549999999999994}",20,9,-10.790550329039553,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
216,False,"{'a': 0.45, 'e': 0.3519999999999994}",30,9,-38.13885735711186,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 1}",1
217,False,"{'a': 0.45, 'e': 0.3489999999999994}",20,0,-22.2442926104382,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
218,False,"{'a': 0.45, 'e': 0.3459999999999994}",25,13,2.760224303411891,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
219,False,"{'a': 0.45, 'e': 0.3429999999999994}",20,12,11.488301261532028,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.45, 'e': 0.3399999999999994}",30,19,3.1416141433489786,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
221,False,"{'a': 0.45, 'e': 0.3369999999999994}",25,12,9.372187473149424,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
222,False,"{'a': 0.45, 'e': 0.3339999999999994}",25,11,1.2401957661720369,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
223,False,"{'a': 0.45, 'e': 0.3309999999999994}",25,3,2.1781271506230917,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
224,False,"{'a': 0.45, 'e': 0.3279999999999994}",25,10,-62.46077659432878,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 1}",1
225,False,"{'a': 0.45, 'e': 0.3249999999999994}",30,18,7.202152353631463,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
226,False,"{'a': 0.45, 'e': 0.3219999999999994}",30,16,18.117234965410994,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.45, 'e': 0.3189999999999994}",25,14,8.527137460840777,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
228,False,"{'a': 0.45, 'e': 0.3159999999999994}",20,2,-30.839084641249418,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
229,False,"{'a': 0.45, 'e': 0.3129999999999994}",30,21,-24.246705418016756,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
230,False,"{'a': 0.45, 'e': 0.3099999999999994}",25,0,-32.67242503858086,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
231,False,"{'a': 0.45, 'e': 0.3069999999999994}",20,12,15.57367767984267,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.45, 'e': 0.3039999999999994}",20,12,11.174019703914581,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.45, 'e': 0.3009999999999994}",30,0,-81.17046229740038,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 3}",0
234,False,"{'a': 0.45, 'e': 0.2979999999999994}",20,16,7.678479191229128,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.45, 'e': 0.2949999999999994}",30,9,-29.08378043502772,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 1}",1
236,False,"{'a': 0.45, 'e': 0.29199999999999937}",35,12,7.824943516074123,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 0}",1
237,False,"{'a': 0.45, 'e': 0.28899999999999937}",25,18,14.594352246297277,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.45, 'e': 0.28599999999999937}",30,0,11.227788716514716,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",1
239,False,"{'a': 0.45, 'e': 0.28299999999999936}",35,17,5.879024565622296,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
240,False,"{'a': 0.45, 'e': 0.27999999999999936}",20,9,-8.161100860743353,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
241,False,"{'a': 0.45, 'e': 0.27699999999999936}",25,11,-3.7048875337971943,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
242,False,"{'a': 0.45, 'e': 0.27399999999999936}",25,16,-6.132028795722507,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
243,False,"{'a': 0.45, 'e': 0.27099999999999935}",25,14,-8.891527726080056,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
244,False,"{'a': 0.45, 'e': 0.26799999999999935}",30,17,4.193462324707236,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
245,False,"{'a': 0.45, 'e': 0.26499999999999935}",35,17,16.84785435795362,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
246,False,"{'a': 0.45, 'e': 0.26199999999999934}",20,4,-28.009848296143403,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
247,False,"{'a': 0.45, 'e': 0.25899999999999934}",20,9,13.56346061260682,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.45, 'e': 0.25599999999999934}",30,11,-33.691404737480234,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 0}",1
249,False,"{'a': 0.45, 'e': 0.25299999999999934}",30,7,24.808461520466317,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
250,False,"{'a': 0.45, 'e': 0.24999999999999933}",25,4,11.354051285295983,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
251,False,"{'a': 0.45, 'e': 0.24699999999999933}",20,3,5.019115606968058,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
252,False,"{'a': 0.45, 'e': 0.24399999999999933}",35,18,-58.032073437490105,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 1}",1
253,False,"{'a': 0.45, 'e': 0.24099999999999933}",20,11,15.254541093365258,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.45, 'e': 0.23799999999999932}",30,20,19.65314243548795,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.45, 'e': 0.23499999999999932}",25,10,12.472060029612376,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.45, 'e': 0.23199999999999932}",25,11,26.069813101638644,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.45, 'e': 0.22899999999999932}",25,15,7.588900035919551,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
258,False,"{'a': 0.45, 'e': 0.2259999999999993}",25,15,19.010532649130035,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.45, 'e': 0.2229999999999993}",20,3,13.741500234976398,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
260,False,"{'a': 0.45, 'e': 0.2199999999999993}",25,15,5.9344964915444205,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
261,False,"{'a': 0.45, 'e': 0.2169999999999993}",30,8,-12.934609262175913,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
262,False,"{'a': 0.45, 'e': 0.2139999999999993}",20,8,-12.400896302526453,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
263,False,"{'a': 0.45, 'e': 0.2109999999999993}",25,14,6.724204021266873,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
264,False,"{'a': 0.45, 'e': 0.2079999999999993}",25,7,9.431746707149612,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
265,False,"{'a': 0.45, 'e': 0.2049999999999993}",20,13,11.49852194218045,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.45, 'e': 0.2019999999999993}",25,11,14.793454894267205,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
267,False,"{'a': 0.45, 'e': 0.1989999999999993}",35,23,22.346797807575463,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.45, 'e': 0.19599999999999929}",20,11,-1.4466951924447997,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
269,False,"{'a': 0.45, 'e': 0.19299999999999928}",25,16,15.490485638690544,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.45, 'e': 0.18999999999999928}",25,15,11.921969089697328,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
271,False,"{'a': 0.45, 'e': 0.18699999999999928}",20,2,30.313274046639055,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.45, 'e': 0.18399999999999928}",20,9,-70.77910794653519,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 1}",1
273,False,"{'a': 0.45, 'e': 0.18099999999999927}",25,8,25.920670158671598,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.45, 'e': 0.17799999999999927}",25,19,11.05610398288023,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.45, 'e': 0.17499999999999927}",30,18,16.59547950201262,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.45, 'e': 0.17199999999999926}",20,14,11.783882592855733,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.45, 'e': 0.16899999999999926}",25,14,23.192952088012458,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.45, 'e': 0.16599999999999926}",35,20,-2.595651620534169,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 0}",1
279,False,"{'a': 0.45, 'e': 0.16299999999999926}",20,9,18.352322280197484,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.45, 'e': 0.15999999999999925}",20,3,19.018770065441725,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
281,False,"{'a': 0.45, 'e': 0.15699999999999925}",25,13,25.588396101518743,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.45, 'e': 0.15399999999999925}",25,13,25.71256388852115,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.45, 'e': 0.15099999999999925}",25,16,12.890825868489426,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.45, 'e': 0.14799999999999924}",30,20,22.600184513002144,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.45, 'e': 0.14499999999999924}",30,17,11.411609163755648,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
286,False,"{'a': 0.45, 'e': 0.14199999999999924}",20,0,-5.4120723417734276,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
287,False,"{'a': 0.45, 'e': 0.13899999999999924}",25,11,-15.233032761621871,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
288,False,"{'a': 0.45, 'e': 0.13599999999999923}",20,15,6.745717225328495,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.45, 'e': 0.13299999999999923}",20,6,10.974455035183363,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
290,False,"{'a': 0.45, 'e': 0.12999999999999923}",25,0,20.351598954893706,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
291,False,"{'a': 0.45, 'e': 0.12699999999999922}",25,13,-20.35615705829012,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
292,False,"{'a': 0.45, 'e': 0.12399999999999922}",20,16,7.6247065909580485,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.45, 'e': 0.12099999999999922}",20,6,5.061554573197494,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
294,False,"{'a': 0.45, 'e': 0.11799999999999922}",30,16,27.133084910087245,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.45, 'e': 0.11499999999999921}",25,9,26.630744653500393,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.45, 'e': 0.11199999999999921}",30,20,7.180843124595017,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
297,False,"{'a': 0.45, 'e': 0.10899999999999921}",30,22,13.555968040731262,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.45, 'e': 0.1059999999999992}",20,10,-25.143301341850066,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
299,False,"{'a': 0.45, 'e': 0.1029999999999992}",20,0,23.04422510639187,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
300,False,"{'a': 0.45, 'e': 0.0999999999999992}",30,18,22.794126557833785,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.45, 'e': 0.0969999999999992}",20,6,28.96002550222001,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.45, 'e': 0.0939999999999992}",20,0,33.872075185484,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
303,False,"{'a': 0.45, 'e': 0.09099999999999919}",25,16,5.537840037728276,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
304,False,"{'a': 0.45, 'e': 0.08799999999999919}",25,13,10.594262521107497,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.45, 'e': 0.08499999999999919}",25,10,27.320843459891144,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
306,False,"{'a': 0.45, 'e': 0.08199999999999918}",20,15,9.488457504640863,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
307,False,"{'a': 0.45, 'e': 0.07899999999999918}",30,8,32.885284615051816,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.45, 'e': 0.07599999999999918}",20,2,-10.818884293542231,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
309,False,"{'a': 0.45, 'e': 0.07299999999999918}",20,9,19.844446397462782,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
310,False,"{'a': 0.45, 'e': 0.06999999999999917}",25,11,26.79353723293388,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
311,False,"{'a': 0.45, 'e': 0.06699999999999917}",30,15,29.069589331592987,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
312,False,"{'a': 0.45, 'e': 0.06399999999999917}",30,12,33.70909413804939,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
313,False,"{'a': 0.45, 'e': 0.060999999999999166}",20,9,21.727267676763002,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
314,False,"{'a': 0.45, 'e': 0.05799999999999916}",20,14,14.192732779526722,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
315,False,"{'a': 0.45, 'e': 0.05499999999999916}",30,21,15.567796846570452,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
316,False,"{'a': 0.45, 'e': 0.05199999999999916}",25,13,17.850377487806625,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
317,False,"{'a': 0.45, 'e': 0.048999999999999155}",25,19,12.640262877075543,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
318,False,"{'a': 0.45, 'e': 0.04599999999999915}",30,13,16.439693672937018,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
319,False,"{'a': 0.45, 'e': 0.04299999999999915}",20,8,23.29443411046142,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
320,False,"{'a': 0.45, 'e': 0.03999999999999915}",20,13,12.482569215422055,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
321,False,"{'a': 0.45, 'e': 0.036999999999999145}",25,11,29.02482128118878,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
322,False,"{'a': 0.45, 'e': 0.03399999999999914}",25,15,18.09518758665146,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
323,False,"{'a': 0.45, 'e': 0.030999999999999143}",25,13,19.953737555057145,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
324,False,"{'a': 0.45, 'e': 0.027999999999999144}",20,11,17.672601816373927,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
325,False,"{'a': 0.45, 'e': 0.024999999999999144}",25,15,18.286656847017472,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
326,False,"{'a': 0.45, 'e': 0.021999999999999145}",30,15,30.227428152025972,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
327,False,"{'a': 0.45, 'e': 0.018999999999999146}",20,12,18.356138609168976,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
328,False,"{'a': 0.45, 'e': 0.015999999999999147}",25,15,17.537649596769096,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
329,False,"{'a': 0.45, 'e': 0.012999999999999148}",25,17,19.118847476950435,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
330,False,"{'a': 0.45, 'e': 0.009999999999999148}",20,12,14.371350339650775,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
331,False,"{'a': 0.45, 'e': 0.006999999999999148}",35,21,26.88598379986476,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
332,False,"{'a': 0.45, 'e': 0.003999999999999148}",20,12,15.94573044723231,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
333,False,"{'a': 0.45, 'e': 0.0009999999999991483}",25,6,31.305369582673073,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
334,False,"{'a': 0.45, 'e': -0.002000000000000852}",20,14,9.750080439179666,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,18,14.566892677549463,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,5,22.13609251952664,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,17,16.555205387992736,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,8,26.514158223620655,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,16,17.06576836175509,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,13,13.119601503499743,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,11,22.572275202659917,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,13,21.065491900970837,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,21,17.095819404945747,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,15,19.582611974148435,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
